"","LABID","new.fname","Sample","well","plate"
"847","z0041483","z0041483_Mnov_GTseek_026_079_PLT_6_R1.fastq","GTseek_026_384i5_079_PLT_6_41483_R1.fastq","079","6"
"848","z0041483","z0041483_Mnov_GTseek_026_079_PLT_6_R2.fastq","GTseek_026_384i5_079_PLT_6_41483_R2.fastq","079","6"
"849","z0041494","z0041494_Mnov_GTseek_026_081_PLT_6_R1.fastq","GTseek_026_384i5_081_PLT_6_41494_R1.fastq","081","6"
"850","z0041494","z0041494_Mnov_GTseek_026_081_PLT_6_R2.fastq","GTseek_026_384i5_081_PLT_6_41494_R2.fastq","081","6"
"851","z0041498","z0041498_Mnov_GTseek_026_083_PLT_6_R1.fastq","GTseek_026_384i5_083_PLT_6_41498_R1.fastq","083","6"
"852","z0041498","z0041498_Mnov_GTseek_026_083_PLT_6_R2.fastq","GTseek_026_384i5_083_PLT_6_41498_R2.fastq","083","6"
"853","z0041501","z0041501_Mnov_GTseek_026_085_PLT_6_R1.fastq","GTseek_026_384i5_085_PLT_6_41501_R1.fastq","085","6"
"854","z0041501","z0041501_Mnov_GTseek_026_085_PLT_6_R2.fastq","GTseek_026_384i5_085_PLT_6_41501_R2.fastq","085","6"
"855","z0041507","z0041507_Mnov_GTseek_026_087_PLT_6_R1.fastq","GTseek_026_384i5_087_PLT_6_41507_R1.fastq","087","6"
"856","z0041507","z0041507_Mnov_GTseek_026_087_PLT_6_R2.fastq","GTseek_026_384i5_087_PLT_6_41507_R2.fastq","087","6"
"857","z0041512","z0041512_Mnov_GTseek_026_089_PLT_6_R1.fastq","GTseek_026_384i5_089_PLT_6_41512_R1.fastq","089","6"
"858","z0041512","z0041512_Mnov_GTseek_026_089_PLT_6_R2.fastq","GTseek_026_384i5_089_PLT_6_41512_R2.fastq","089","6"
"859","z0041514","z0041514_Mnov_GTseek_026_091_PLT_6_R1.fastq","GTseek_026_384i5_091_PLT_6_41514_R1.fastq","091","6"
"860","z0041514","z0041514_Mnov_GTseek_026_091_PLT_6_R2.fastq","GTseek_026_384i5_091_PLT_6_41514_R2.fastq","091","6"
"861","z0041519","z0041519_Mnov_GTseek_026_093_PLT_6_R1.fastq","GTseek_026_384i5_093_PLT_6_41519_R1.fastq","093","6"
"862","z0041519","z0041519_Mnov_GTseek_026_093_PLT_6_R2.fastq","GTseek_026_384i5_093_PLT_6_41519_R2.fastq","093","6"
"863","z0041521","z0041521_Mnov_GTseek_026_095_PLT_6_R1.fastq","GTseek_026_384i5_095_PLT_6_41521_R1.fastq","095","6"
"864","z0041521","z0041521_Mnov_GTseek_026_095_PLT_6_R2.fastq","GTseek_026_384i5_095_PLT_6_41521_R2.fastq","095","6"
"865","z0041522","z0041522_Mnov_GTseek_026_097_PLT_6_R1.fastq","GTseek_026_384i5_097_PLT_6_41522_R1.fastq","097","6"
"866","z0041522","z0041522_Mnov_GTseek_026_097_PLT_6_R2.fastq","GTseek_026_384i5_097_PLT_6_41522_R2.fastq","097","6"
"867","z0041526","z0041526_Mnov_GTseek_026_099_PLT_6_R1.fastq","GTseek_026_384i5_099_PLT_6_41526_R1.fastq","099","6"
"868","z0041526","z0041526_Mnov_GTseek_026_099_PLT_6_R2.fastq","GTseek_026_384i5_099_PLT_6_41526_R2.fastq","099","6"
"869","z0041527","z0041527_Mnov_GTseek_026_101_PLT_6_R1.fastq","GTseek_026_384i5_101_PLT_6_41527_R1.fastq","101","6"
"870","z0041527","z0041527_Mnov_GTseek_026_101_PLT_6_R2.fastq","GTseek_026_384i5_101_PLT_6_41527_R2.fastq","101","6"
"871","z0043243","z0043243_Mnov_GTseek_026_103_PLT_6_R1.fastq","GTseek_026_384i5_103_PLT_6_43243_R1.fastq","103","6"
"872","z0043243","z0043243_Mnov_GTseek_026_103_PLT_6_R2.fastq","GTseek_026_384i5_103_PLT_6_43243_R2.fastq","103","6"
"873","z0043267","z0043267_Mnov_GTseek_026_105_PLT_6_R1.fastq","GTseek_026_384i5_105_PLT_6_43267_R1.fastq","105","6"
"874","z0043267","z0043267_Mnov_GTseek_026_105_PLT_6_R2.fastq","GTseek_026_384i5_105_PLT_6_43267_R2.fastq","105","6"
"875","z0043278","z0043278_Mnov_GTseek_026_107_PLT_6_R1.fastq","GTseek_026_384i5_107_PLT_6_43278_R1.fastq","107","6"
"876","z0043278","z0043278_Mnov_GTseek_026_107_PLT_6_R2.fastq","GTseek_026_384i5_107_PLT_6_43278_R2.fastq","107","6"
"877","z0043464","z0043464_Mnov_GTseek_026_109_PLT_6_R1.fastq","GTseek_026_384i5_109_PLT_6_43464_R1.fastq","109","6"
"878","z0043464","z0043464_Mnov_GTseek_026_109_PLT_6_R2.fastq","GTseek_026_384i5_109_PLT_6_43464_R2.fastq","109","6"
"879","z0043468","z0043468_Mnov_GTseek_026_111_PLT_6_R1.fastq","GTseek_026_384i5_111_PLT_6_43468_R1.fastq","111","6"
"880","z0043468","z0043468_Mnov_GTseek_026_111_PLT_6_R2.fastq","GTseek_026_384i5_111_PLT_6_43468_R2.fastq","111","6"
"881","z0043475","z0043475_Mnov_GTseek_026_113_PLT_6_R1.fastq","GTseek_026_384i5_113_PLT_6_43475_R1.fastq","113","6"
"882","z0043475","z0043475_Mnov_GTseek_026_113_PLT_6_R2.fastq","GTseek_026_384i5_113_PLT_6_43475_R2.fastq","113","6"
"883","z0043477","z0043477_Mnov_GTseek_026_115_PLT_6_R1.fastq","GTseek_026_384i5_115_PLT_6_43477_R1.fastq","115","6"
"884","z0043477","z0043477_Mnov_GTseek_026_115_PLT_6_R2.fastq","GTseek_026_384i5_115_PLT_6_43477_R2.fastq","115","6"
"885","z0043478","z0043478_Mnov_GTseek_026_117_PLT_6_R1.fastq","GTseek_026_384i5_117_PLT_6_43478_R1.fastq","117","6"
"886","z0043478","z0043478_Mnov_GTseek_026_117_PLT_6_R2.fastq","GTseek_026_384i5_117_PLT_6_43478_R2.fastq","117","6"
"887","z0043481","z0043481_Mnov_GTseek_026_119_PLT_6_R1.fastq","GTseek_026_384i5_119_PLT_6_43481_R1.fastq","119","6"
"888","z0043481","z0043481_Mnov_GTseek_026_119_PLT_6_R2.fastq","GTseek_026_384i5_119_PLT_6_43481_R2.fastq","119","6"
"889","z0043487","z0043487_Mnov_GTseek_026_121_PLT_6_R1.fastq","GTseek_026_384i5_121_PLT_6_43487_R1.fastq","121","6"
