Sample,Reverse reads with adapter,Total reads for sample,run.name,Proportion with adapter
z0041527_Mnov_GTseek_026_101_PLT_6_R1.fastq.gz,26286,74985,Prod,0.35055011
z0012701_Mnov_GTseek_029_155_PLT_9_R1.fastq.gz,58566,166980,Prod,0.350736615
z0041250_Mnov_GTseek_026_179_PLT_6_R1.fastq.gz,15121,43091,Prod,0.350908542
z0016577_Mnov_GTseek_022_004_PLT_2_R1.fastq.gz,505,1437,Prod,0.351426583
z0030424_Mnov_GTseek_029_165_PLT_9_R1.fastq.gz,43197,122552,Prod,0.352478948
z0005757_Mnov_GTseek_022_134_PLT_2_R1.fastq.gz,253,712,Prod,0.355337079
z0029829_Mnov_GTseek_022_008_PLT_2_R1.fastq.gz,131,366,Prod,0.357923497
z0016578_Mnov_GTseek_022_006_PLT_2_R1.fastq.gz,178,497,Prod,0.358148893
z0043481_Mnov_GTseek_026_119_PLT_6_R1.fastq.gz,39485,110108,Prod,0.358602463
z0005758_Mnov_GTseek_022_002_PLT_2_R1.fastq.gz,4765,13239,Prod,0.359921444
z0037610_Mnov_GTseek_022_026_PLT_2_R1.fastq.gz,2200,6040,Prod,0.364238411
z0029861_Mnov_GTseek_022_014_PLT_2_R1.fastq.gz,971,2664,Prod,0.364489489
z0041514_Mnov_GTseek_026_091_PLT_6_R1.fastq.gz,2268,6117,Prod,0.370769985
z0032258_Mnov_GTseek_029_167_PLT_9_R1.fastq.gz,70453,188927,Prod,0.37291123
z0041465_Mnov_GTseek_026_073_PLT_6_R1.fastq.gz,22479,60068,Prod,0.374225877
z0040957_Mnov_GTseek_026_055_PLT_6_R1.fastq.gz,6684,17832,Prod,0.374831763
z0043464_Mnov_GTseek_026_109_PLT_6_R1.fastq.gz,3179,8439,Prod,0.376703401
z0041472_Mnov_GTseek_026_075_PLT_6_R1.fastq.gz,4474,11722,Prod,0.381675482
z0029833_Mnov_GTseek_022_188_PLT_2_R1.fastq.gz,63506,166293,Prod,0.381892202
z0040337_Mnov_GTseek_029_157_PLT_9_R1.fastq.gz,64362,167805,Prod,0.383552338
z0037607_Mnov_GTseek_022_142_PLT_2_R1.fastq.gz,505,1312,Prod,0.384908537
z0041501_Mnov_GTseek_026_085_PLT_6_R1.fastq.gz,21538,55817,Prod,0.385868105
z0029863_Mnov_GTseek_022_016_PLT_2_R1.fastq.gz,15115,39081,Prod,0.38676083
z0041512_Mnov_GTseek_026_089_PLT_6_R1.fastq.gz,87477,223352,Prod,0.391655324
z0041250_Mnov_GTseek_026_071_PLT_6_R1.fastq.gz,12416,31152,Prod,0.39856189
z0040275_Mnov_GTseek_026_041_PLT_6_R1.fastq.gz,58088,144037,Prod,0.403285267
z0041072_Mnov_GTseek_026_059_PLT_6_R1.fastq.gz,5524,13662,Prod,0.404333187
z0041521_Mnov_GTseek_026_095_PLT_6_R1.fastq.gz,12067,29752,Prod,0.405586179
z0041248_Mnov_GTseek_026_069_PLT_6_R1.fastq.gz,5217,12713,Prod,0.410367341
z0037609_Mnov_GTseek_022_024_PLT_2_R1.fastq.gz,23762,57357,Prod,0.414282476
z0040403_Mnov_GTseek_026_175_PLT_6_R1.fastq.gz,32183,77159,Prod,0.417099755
z0041145_Mnov_GTseek_026_061_PLT_6_R1.fastq.gz,9015,21249,Prod,0.424255259
z0009880_Mnov_GTseek_029_163_PLT_9_R1.fastq.gz,10976,25711,Prod,0.426898993
z0043488_Mnov_GTseek_026_123_PLT_6_R1.fastq.gz,5005,11617,Prod,0.430834122
z0041507_Mnov_GTseek_026_087_PLT_6_R1.fastq.gz,20294,46941,Prod,0.432329946
z0043477_Mnov_GTseek_026_115_PLT_6_R1.fastq.gz,101947,233288,Prod,0.437000617
z0029831_Mnov_GTseek_022_010_PLT_2_R1.fastq.gz,4037,9096,Prod,0.44382146
z0041145_Mnov_GTseek_026_177_PLT_6_R1.fastq.gz,10052,22628,Prod,0.44422839
z0043477_Mnov_GTseek_026_183_PLT_6_R1.fastq.gz,114087,249632,Prod,0.457020735
z0029861_Mnov_GTseek_022_172_PLT_2_R1.fastq.gz,1594,3471,Prod,0.45923365
z0043478_Mnov_GTseek_026_117_PLT_6_R1.fastq.gz,25712,55967,Prod,0.459413583
z0029866_Mnov_GTseek_022_174_PLT_2_R1.fastq.gz,7517,16095,Prod,0.467039453
z0043487_Mnov_GTseek_026_121_PLT_6_R1.fastq.gz,9181,19617,Prod,0.468012438
z0041498_Mnov_GTseek_026_083_PLT_6_R1.fastq.gz,119875,254315,Prod,0.471364253
z0029867_Mnov_GTseek_022_022_PLT_2_R1.fastq.gz,2818,5905,Prod,0.477222693
z0040451_Mnov_GTseek_029_007_PLT_9_R1.fastq.gz,4640,9630,Prod,0.481827622
z0037611_Mnov_GTseek_022_028_PLT_2_R1.fastq.gz,5568,11533,Prod,0.48278852
z0040960_Mnov_GTseek_029_009_PLT_9_R1.fastq.gz,1878,3880,Prod,0.484020619
z0041026_Mnov_GTseek_029_011_PLT_9_R1.fastq.gz,6228,11972,Prod,0.520213832
z0007446_Mnov_GTseek_029_159_PLT_9_R1.fastq.gz,2193,4148,Prod,0.528688525
z0041274_Mnov_GTseek_029_173_PLT_9_R1.fastq.gz,12802,23656,Prod,0.541173487
z0041026_Mnov_GTseek_029_171_PLT_9_R1.fastq.gz,4057,7312,Prod,0.554841357
z0025405_Mnov_GTseek_029_041_PLT_9_R1.fastq.gz,10959,18425,Prod,0.594789688
z0056391_GTseek_030_384i5_285_Mnov_G06_R1.fastq.gz,16,165,Val,0.096969697
z0196856_GTseek_030_384i5_373_Mnov_C12_R1.fastq.gz,12082,115230,Val,0.104851167
z0018264_GTseek_030_384i5_195_Mnov_B01_R1.fastq.gz,13871,129320,Val,0.107261058
z0196855_GTseek_030_384i5_371_Mnov_B12_R1.fastq.gz,12423,112722,Val,0.110209187
z0053847_GTseek_030_384i5_273_Mnov_A06_R1.fastq.gz,9728,84883,Val,0.114604809
z0195699_GTseek_030_384i5_383_Mnov_H12_R1.fastq.gz,8046,69256,Val,0.11617766
z0196857_GTseek_030_384i5_375_Mnov_D12_R1.fastq.gz,12841,98370,Val,0.130537766
z0196852_GTseek_030_384i5_369_Mnov_A12_R1.fastq.gz,12246,93656,Val,0.130755104
z0053071_GTseek_030_384i5_241_Mnov_A04_R1.fastq.gz,9998,75610,Val,0.132231186
z0196849_GTseek_030_384i5_367_Mnov_H11_R1.fastq.gz,9813,73301,Val,0.133872662
z0053032_GTseek_030_384i5_381_Mnov_G12_R1.fastq.gz,13901,102992,Val,0.134971648
z0196730_GTseek_030_384i5_337_Mnov_A10_R1.fastq.gz,11343,83356,Val,0.136078987
z0040364_GTseek_030_384i5_205_Mnov_G01_R1.fastq.gz,12487,90333,Val,0.138232982
z0196729_GTseek_030_384i5_335_Mnov_H09_R1.fastq.gz,9164,65658,Val,0.13957172
z0051431_GTseek_030_384i5_225_Mnov_A03_R1.fastq.gz,11010,78389,Val,0.14045338
z0196783_GTseek_030_384i5_353_Mnov_A11_R1.fastq.gz,11851,82822,Val,0.14309
z0040439_GTseek_030_384i5_207_Mnov_H01_R1.fastq.gz,11021,76668,Val,0.143749674
z0196734_GTseek_030_384i5_341_Mnov_C10_R1.fastq.gz,12081,83818,Val,0.144133718
z0196794_GTseek_030_384i5_355_Mnov_B11_R1.fastq.gz,12755,88198,Val,0.144617792
z0053083_GTseek_030_384i5_245_Mnov_C04_R1.fastq.gz,11528,79020,Val,0.145887117
