LABID,Raw.Reads,On.Target.Reads,dupe,success,,,,,
195741,4240,288,1,FALSE,,,,,
195679,3853,289,1,FALSE,,,,,
55931,11364,299,1,FALSE,,,,,
195690,5866,300,1,FALSE,,,,,
41248,12713,302,1,FALSE,,,,,
55971,3373,306,1,FALSE,,,,,
195667,3585,312,1,FALSE,,,,,
195750,3220,361,1,FALSE,,,,,
195757,32301,370,2,FALSE,,,,,
195759,9212,375,1,FALSE,,,,,
108494,8931,376,1,FALSE,,,,,
108516,36586,376,1,FALSE,,,,,
195670,7451,395,1,FALSE,,,,,
195671,3315,409,1,FALSE,,,,,
175351,6929,420,1,FALSE,,,,,
195754,25454,426,1,FALSE,,,,,
197679,9728,426,1,FALSE,,,,,
195721,29933,449,1,FALSE,,,,,
44019,20995,465,1,FALSE,,,,,
56093,5810,473,1,FALSE,,,,,
25405,18425,485,1,FALSE,,,,,
40451,9630,491,1,FALSE,,,,,
51947,3677,500,1,FALSE,,,,,
178294,114703,517,1,FALSE,,,,,
53133,84335,542,1,FALSE,,,,,
44033,6249,568,1,FALSE,,,,,
197671,17584,578,1,FALSE,,,,,
55903,5930,591,1,FALSE,,,,,
195689,45601,598,1,FALSE,,,,,
195672,93929,601,1,FALSE,,,,,
56092,66142,653,1,FALSE,,,,,
56081,14931,679,1,FALSE,,,,,
63304,7328,699,2,FALSE,,,,,
195718,25444,722,1,FALSE,,,,,
47603,41202,729,1,FALSE,,,,,
195691,71510,747,1,FALSE,,,,,
195642,10651,748,1,FALSE,,,,,
195769,32772,754,1,FALSE,,,,,
43839,7797,776,1,FALSE,,,,,
43980,36375,785,2,FALSE,,,,,
41072,13662,799,1,FALSE,,,,,
53149,63673,812,1,FALSE,,,,,
43487,19617,840,1,FALSE,,,,,
195771,27531,850,1,FALSE,,,,,
51405,82711,863,1,FALSE,,,,,
195681,220979,938,1,FALSE,,,,,
45329,19051,947,1,FALSE,,,,,
52846,51765,998,2,FALSE,,,,,
55916,11036,1048,1,FALSE,,,,,
197665,71925,1053,1,FALSE,,,,,
195786,18547,1089,1,FALSE,,,,,
196890,27437,1102,2,FALSE,,,,,
53082,69064,1105,1,FALSE,,,,,
196889,11442,1105,1,FALSE,,,,,
197658,14965,1164,1,FALSE,,,,,
55932,30516,1214,1,FALSE,,,,,
45741,60625,1265,1,FALSE,,,,,
197659,18872,1336,1,FALSE,,,,,
43704,26369,1338,2,FALSE,,,,,
56089,21678,1361,1,FALSE,,,,,
195705,14875,1391,1,FALSE,,,,,
55999,22082,1407,1,FALSE,,,,,
196707,58719,1417,1,FALSE,,,,,
195740,38555,1437,1,FALSE,,,,,
41472,11722,1445,1,FALSE,,,,,
195764,17913,1501,1,FALSE,,,,,
41145,43877,1506,2,FALSE,,,,,
196840,120322,1547,2,FALSE,,,,,
53760,65636,1577,1,FALSE,,,,,
195662,10906,1612,2,FALSE,,,,,
195749,26367,1619,1,FALSE,,,,,
43686,42610,1655,2,FALSE,,,,,
55944,50927,1672,1,FALSE,,,,,
108510,57937,1742,1,FALSE,,,,,
55908,15245,1751,1,FALSE,,,,,
53055,23007,1795,2,FALSE,,,,,
195713,9397,1956,1,FALSE,,,,,
51816,36070,2062,1,FALSE,,,,,
63342,69243,2081,1,FALSE,,,,,
197668,25731,2093,1,FALSE,,,,,
51327,60855,2151,1,FALSE,,,,,
196832,56781,2193,1,FALSE,,,,,
47854,74553,2228,1,FALSE,,,,,
195695,37322,2332,1,FALSE,,,,,
195648,8610,2374,2,FALSE,,,,,
56082,48229,2420,1,FALSE,,,,,
29828,14732,2433,1,FALSE,,,,,
195682,39925,2454,1,FALSE,,,,,
187868,14228,2555,1,FALSE,,,,,
195756,26826,2609,1,FALSE,,,,,
195665,18470,2706,1,FALSE,,,,,
196752,14850,2774,1,FALSE,,,,,
196741,17292,2847,1,FALSE,,,,,
195650,13899,2899,1,FALSE,,,,,
