,LABID,Sample,Raw.Reads,On.Target.Reads,Pct.On.Target,Pct.GT,IFI,new.fnames
512,195730,GTseek_024_384i5_235_PLT_4_195730,99516,13068,13.13,65.36,0.58,z0195730_Mnov_GTseek_024_235_PLT_4.fastq
528,53758,GTseek_022_384i5_092_PLT_2_53758,512273,13177,2.57,67.71,1.11,z0053758_Mnov_GTseek_022_092_PLT_2.fastq
6510,195699,GTseek_030_384i5_383_Mnov_H12_pasted,69256,13213,19.08,72.87,0.86,z0195699_Mnov_GTseek_030_383_POS_H12.fastq
517,195709,GTseek_024_384i5_199_PLT_4_195709,28631,13291,46.42,65.89,1.01,z0195709_Mnov_GTseek_024_199_PLT_4.fastq
515,196854,GTseek_025_384i5_333_PLT_5_196854,58962,13310,22.57,65.62,0.64,z0196854_Mnov_GTseek_025_333_PLT_5.fastq
509,196825,GTseek_025_384i5_295_PLT_5_196825,79656,13453,16.89,64.58,0.42,z0196825_Mnov_GTseek_025_295_PLT_5.fastq
534,195728,GTseek_024_384i5_231_PLT_4_195728,71303,13475,18.9,68.49,0.81,z0195728_Mnov_GTseek_024_231_PLT_4.fastq
581,195735,GTseek_024_384i5_369_PLT_4_195735,66016,13576,20.56,73.7,0.9,z0195735_Mnov_GTseek_024_369_PLT_4.fastq
531,196755,GTseek_025_384i5_229_PLT_5_196755,119750,13914,11.62,67.97,0.71,z0196755_Mnov_GTseek_025_229_PLT_5.fastq
472,41501,GTseek_026_384i5_085_PLT_6_41501,55817,13967,25.02,57.55,0.33,z0041501_Mnov_GTseek_026_085_PLT_6.fastq
3100,40333,GTseek_030_384i5_197_Mnov_C01_pasted,87860,13986,15.92,77.24,0.44,z0040333_Mnov_GTseek_030_197_POS_C01.fastq
753,40364,GTseek_030_384i5_205_Mnov_G01_pasted,90333,14007,15.51,72.18,0.58,z0040364_Mnov_GTseek_030_205_POS_G01.fastq
910,40985,GTseek_030_384i5_209_Mnov_A02_pasted,85271,14017,16.44,77.24,0.68,z0040985_Mnov_GTseek_030_209_POS_A02.fastq
505,40403,GTseek_026_384i5_175_PLT_6_40403,77159,14056,18.22,63.8,0.83,z0040403_Mnov_GTseek_026_175_PLT_6.fastq
568,53842,GTseek_022_384i5_094_PLT_2_53842,92402,14118,15.28,72.14,0.67,z0053842_Mnov_GTseek_022_094_PLT_2.fastq
542,196754,GTseek_025_384i5_227_PLT_5_196754,87863,14125,16.08,69.01,0.51,z0196754_Mnov_GTseek_025_227_PLT_5.fastq
557,196749,GTseek_025_384i5_217_PLT_5_196749,124452,14125,11.35,71.09,1.01,z0196749_Mnov_GTseek_025_217_PLT_5.fastq
2610,53071,GTseek_030_384i5_241_Mnov_A04_pasted,75610,14229,18.82,69.89,1.06,z0053071_Mnov_GTseek_030_241_POS_A04.fastq
550,196738,GTseek_025_384i5_201_PLT_5_196738,42283,14394,34.04,70.57,1.02,z0196738_Mnov_GTseek_025_201_PLT_5.fastq
558,196811,GTseek_025_384i5_285_PLT_5_196811,35920,14455,40.24,71.09,0.82,z0196811_Mnov_GTseek_025_285_PLT_5.fastq
477,108513,GTseek_022_384i5_186_PLT_2_108513,44481,14584,32.79,58.85,0.51,z0108513_Mnov_GTseek_022_186_PLT_2.fastq
608,51185,GTseek_027_384i5_185_PLT_7_51185,97342,14771,15.17,76.3,0.36,z0051185_Mnov_GTseek_027_185_PLT_7.fastq
546,196851,GTseek_025_384i5_331_PLT_5_196851,42758,15023,35.13,69.79,1.47,z0196851_Mnov_GTseek_025_331_PLT_5.fastq
532,45371,GTseek_022_384i5_040_PLT_2_45371,21593,15034,69.62,68.23,0.49,z0045371_Mnov_GTseek_022_040_PLT_2.fastq
589,195724,GTseek_024_384i5_225_PLT_4_195724,44651,15229,34.11,74.48,0.54,z0195724_Mnov_GTseek_024_225_PLT_4.fastq
522,44023,GTseek_027_384i5_047_PLT_7_44023,88573,15593,17.6,66.15,0.37,z0044023_Mnov_GTseek_027_047_PLT_7.fastq
567,62886,GTseek_028_384i5_123_PLT_8_62886,105211,15616,14.84,71.88,0.32,z0062886_Mnov_GTseek_028_123_PLT_8.fastq
553,43642,GTseek_026_384i5_189_PLT_6_43642,90954,15665,17.22,70.83,0.59,z0043642_Mnov_GTseek_026_189_PLT_6.fastq
841,196794,GTseek_030_384i5_355_Mnov_B11_pasted,88198,15721,17.82,65.52,0.66,z0196794_Mnov_GTseek_030_355_POS_B11.fastq
535,195739,GTseek_024_384i5_253_PLT_4_195739,76838,15733,20.48,68.49,1.04,z0195739_Mnov_GTseek_024_253_PLT_4.fastq
536,196886,GTseek_025_384i5_351_PLT_5_196886,29905,16019,53.57,68.49,0.78,z0196886_Mnov_GTseek_025_351_PLT_5.fastq
559,195727,GTseek_024_384i5_229_PLT_4_195727,101031,16037,15.87,71.35,0.47,z0195727_Mnov_GTseek_024_229_PLT_4.fastq
530,195755,GTseek_024_384i5_275_PLT_4_195755,29803,16101,54.02,67.97,0.96,z0195755_Mnov_GTseek_024_275_PLT_4.fastq
5100,40345,GTseek_030_384i5_201_Mnov_E01_pasted,97215,16133,16.6,80,0.41,z0040345_Mnov_GTseek_030_201_POS_E01.fastq
533,196829,GTseek_025_384i5_299_PLT_5_196829,45391,16460,36.26,68.23,0.74,z0196829_Mnov_GTseek_025_299_PLT_5.fastq
1710,51431,GTseek_030_384i5_225_Mnov_A03_pasted,78389,16557,21.12,71.49,0.86,z0051431_Mnov_GTseek_030_225_POS_A03.fastq
570,196768,GTseek_025_384i5_251_PLT_5_196768,135444,16662,12.3,72.14,0.81,z0196768_Mnov_GTseek_025_251_PLT_5.fastq
480,45719,GTseek_027_384i5_079_PLT_7_45719,75779,16678,22.01,59.11,0.97,z0045719_Mnov_GTseek_027_079_PLT_7.fastq
633,195714,GTseek_024_384i5_209_PLT_4_195714,69803,17043,24.42,78.65,0.33,z0195714_Mnov_GTseek_024_209_PLT_4.fastq
569,196766,GTseek_025_384i5_247_PLT_5_196766,46814,17151,36.64,72.14,0.61,z0196766_Mnov_GTseek_025_247_PLT_5.fastq
668,196860,GTseek_025_384i5_381_PLT_5_196860,69407,17268,24.88,82.29,0.69,z0196860_Mnov_GTseek_025_381_PLT_5.fastq
681,195722,GTseek_024_384i5_223_PLT_4_195722,90579,17314,19.11,84.38,0.45,z0195722_Mnov_GTseek_024_223_PLT_4.fastq
545,51380,GTseek_022_384i5_178_PLT_2_51380,48202,17397,36.09,69.53,0.61,z0051380_Mnov_GTseek_022_178_PLT_2.fastq
502,195736,GTseek_024_384i5_247_PLT_4_195736,49791,17431,35.01,63.54,1.15,z0195736_Mnov_GTseek_024_247_PLT_4.fastq
541,195720,GTseek_024_384i5_365_PLT_4_195720,43795,17487,39.93,69.01,0.94,z0195720_Mnov_GTseek_024_365_PLT_4.fastq
571,196757,GTseek_025_384i5_233_PLT_5_196757,37343,17541,46.97,72.4,0.98,z0196757_Mnov_GTseek_025_233_PLT_5.fastq
572,196845,GTseek_025_384i5_321_PLT_5_196845,41573,17566,42.25,72.4,0.71,z0196845_Mnov_GTseek_025_321_PLT_5.fastq
602,196760,GTseek_025_384i5_239_PLT_5_196760,45780,17864,39.02,76.04,0.65,z0196760_Mnov_GTseek_025_239_PLT_5.fastq
549,55912,GTseek_028_384i5_005_PLT_8_55912,32045,18016,56.22,70.31,0.73,z0055912_Mnov_GTseek_028_005_PLT_8.fastq
1100,12702,GTseek_030_384i5_193_Mnov_A01_pasted,96189,18184,18.9,78.39,0.4,z0012702_Mnov_GTseek_030_193_POS_A01.fastq
592,196795,GTseek_025_384i5_273_PLT_5_196795,41473,18200,43.88,74.74,0.98,z0196795_Mnov_GTseek_025_273_PLT_5.fastq
464,196891,GTseek_025_384i5_361_PLT_5_196891,48747,18208,37.35,56.77,5.62,z0196891_Mnov_GTseek_025_361_PLT_5.fastq
4210,53847,GTseek_030_384i5_273_Mnov_A06_pasted,84883,18228,21.47,67.82,0.16,z0053847_Mnov_GTseek_030_273_POS_A06.fastq
540,195737,GTseek_024_384i5_249_PLT_4_195737,45165,18261,40.43,69.01,0.81,z0195737_Mnov_GTseek_024_249_PLT_4.fastq
579,195735,GTseek_024_384i5_245_PLT_4_195735,37829,18271,48.3,73.18,0.42,z0195735_Mnov_GTseek_024_245_PLT_4.fastq
619,195703,GTseek_023_384i5_192_PLT_3_195703,92241,18307,19.85,77.6,0.85,z0195703_Mnov_GTseek_023_192_PLT_3.fastq
951,197662,GTseek_030_384i5_377_Mnov_E12_pasted,98651,18318,18.57,81.61,0.66,z0197662_Mnov_GTseek_030_377_POS_E12.fastq
588,195710,GTseek_024_384i5_201_PLT_4_195710,36154,18452,51.04,74.48,0.45,z0195710_Mnov_GTseek_024_201_PLT_4.fastq
941,196857,GTseek_030_384i5_375_Mnov_D12_pasted,98370,18601,18.91,77.93,0.5,z0196857_Mnov_GTseek_030_375_POS_D12.fastq
560,195773,GTseek_024_384i5_303_PLT_4_195773,37567,18608,49.53,71.35,0.48,z0195773_Mnov_GTseek_024_303_PLT_4.fastq
911,196852,GTseek_030_384i5_369_Mnov_A12_pasted,93656,18685,19.95,78.62,0.42,z0196852_Mnov_GTseek_030_369_POS_A12.fastq
598,41465,GTseek_026_384i5_073_PLT_6_41465,60068,18749,31.21,75.26,0.5,z0041465_Mnov_GTseek_026_073_PLT_6.fastq
563,196842,GTseek_025_384i5_317_PLT_5_196842,93483,19104,20.44,71.88,0.67,z0196842_Mnov_GTseek_025_317_PLT_5.fastq
663,195711,GTseek_024_384i5_203_PLT_4_195711,42434,19146,45.12,81.77,0.7,z0195711_Mnov_GTseek_024_203_PLT_4.fastq
575,195732,GTseek_024_384i5_239_PLT_4_195732,81022,19167,23.66,72.66,0.56,z0195732_Mnov_GTseek_024_239_PLT_4.fastq
564,196847,GTseek_025_384i5_325_PLT_5_196847,56230,19215,34.17,71.88,0.47,z0196847_Mnov_GTseek_025_325_PLT_5.fastq
556,195729,GTseek_024_384i5_233_PLT_4_195729,46381,19269,41.55,71.09,0.58,z0195729_Mnov_GTseek_024_233_PLT_4.fastq
679,56085,GTseek_029_384i5_137_PLT_9_56085,203856,19391,9.51,83.85,1.08,z0056085_Mnov_GTseek_029_137_PLT_9.fastq
2310,53032,GTseek_030_384i5_381_Mnov_G12_pasted,102992,19414,18.85,80,0.34,z0053032_Mnov_GTseek_030_381_POS_G12.fastq
555,45357,GTseek_022_384i5_152_PLT_2_45357,48363,19425,40.17,71.09,0.61,z0045357_Mnov_GTseek_022_152_PLT_2.fastq
597,196714,GTseek_024_384i5_341_PLT_4_196714,93923,19448,20.71,75.26,0.76,z0196714_Mnov_GTseek_024_341_PLT_4.fastq
548,61980,GTseek_028_384i5_147_PLT_8_61980,92536,19788,21.38,70.05,0.72,z0061980_Mnov_GTseek_028_147_PLT_8.fastq
586,196693,GTseek_023_384i5_068_PLT_3_196693,39791,19900,50.01,74.22,0.62,z0196693_Mnov_GTseek_023_068_PLT_3.fastq
